"Autor","Nome do Módulo","Nome Técnico","Site","Situação","Última Versão"
"Julius Network Solutions, ClearCorp, OpenSynergy Indonesia, Hibou Corp., Odoo Community Association (OCA)","Stock Analytic","stock_analytic","https://github.com/OCA/account-analytic","Instalado","16.0.1.4.0"
"ACSONE SA/NV,Odoo Community Association (OCA)","Stock Picking Analytic","stock_picking_analytic","https://github.com/OCA/account-analytic","Instalado","16.0.1.0.1"
"Agile Business Group, Odoo Community Association (OCA)","Pickings back to draft","stock_picking_back2draft","https://github.com/OCA/stock-logistics-workflow","Instalado","16.0.1.0.0"
"Agile Business Group, Tecnativa, BCIM sprl, Softdil S.L, Odoo Community Association (OCA)","Stock Picking Invoice Link","stock_picking_invoice_link","https://github.com/OCA/stock-logistics-workflow","Instalado","16.0.1.1.6"
"Agile Business Group,Odoo Community Association (OCA)","Stock Picking Invoicing","stock_picking_invoicing","https://github.com/OCA/account-invoicing","Instalado","16.0.1.0.4"
"ForgeFlow, Odoo Community Association (OCA)","Stock Request","stock_request","https://github.com/OCA/stock-logistics-request","Instalado","16.0.1.1.3"
"ForgeFlow, Odoo Community Association (OCA)","Stock Request Analytic","stock_request_analytic","https://github.com/OCA/stock-logistics-warehouse","Instalado","16.0.1.0.0"
"ForgeFlow, Odoo Community Association (OCA)","Stock Request MRP","stock_request_mrp","https://github.com/OCA/stock-logistics-request","Instalado","16.0.1.0.2"
"Open Source Integrators, Odoo Community Association (OCA)","Stock Request Picking Type","stock_request_picking_type","https://github.com/OCA/stock-logistics-request","Instalado","16.0.1.0.0"
"ForgeFlow, Odoo Community Association (OCA)","Stock Request Purchase","stock_request_purchase","https://github.com/OCA/stock-logistics-request","Instalado","16.0.1.0.3"
"Escodoo, Odoo Community Association (OCA)","Stock Request Purchase Request","stock_request_purchase_request","https://github.com/OCA/stock-logistics-warehouse","Instalado","16.0.1.0.0"
"Escodoo","Supplier Quality Index","supplier_quality_index","https://github.com/Escodoo/purchase-addons","Instalado","16.0.1.0.0"
"Akretion, Odoo Community Association (OCA)","Tracking Manager","tracking_manager","https://github.com/OCA/server-tools","Instalado","16.0.1.1.10"
"Odoo S.A.","Unidades de medida","uom","","Instalado","16.0.1.0"
"Akretion, Odoo Community Association (OCA)","UOM Alias","uom_alias","https://github.com/OCA/product-attribute","Instalado","16.0.1.0.1"
"Odoo S.A.","UTM Trackers","utm","","Instalado","16.0.1.1"
"Odoo S.A.","Web","web","","Instalado","16.0.1.0"
"Cristian Salamea,Odoo Community Association (OCA)","web_action_conditionable","web_action_conditionable","https://github.com/OCA/web","Instalado","16.0.1.0.0"
"Therp BV, Tecnativa, Camptocamp, Odoo Community Association (OCA)","Advanced search","web_advanced_search","https://github.com/OCA/web","Instalado","16.0.1.0.6"
"Hynsys Technologies, Camptocamp, Odoo Community Association (OCA)","Chatter Position","web_chatter_position","https://github.com/OCA/web","Instalado","16.0.1.0.5"
"Odoo S.A.","Editor Web","web_editor","","Instalado","16.0.1.0"
"Francesco OpenCode Apruzzese, Tecnativa, Odoo Community Association (OCA)","Web Environment Ribbon","web_environment_ribbon","https://github.com/OCA/web","Instalado","16.0.1.0.0"
"Escodoo","Web Escodoo Brand","web_escodoo_brand","https://github.com/Escodoo/base-addons","Instalado","16.0.1.0.0"
"Odoo S.A.","Avaliar ferramenta para  Kanban","web_kanban_gauge","","Instalado","16.0.1.0"
"Odoo S.A.","Tours","web_tour","","Instalado","16.0.0.1"
"Odoo S.A.","Biblioteca de Imagens Unsplash","web_unsplash","","Instalado","16.0.1.1"
"Therp BV, Tecnativa, Camptocamp, CorporateHub, Onestein, Odoo Community Association (OCA)","2D matrix for x2many fields","web_widget_x2many_2d_matrix","https://github.com/OCA/web","Instalado","16.0.1.1.4"
"Odoo S.A.","Painéis","board","","Instalado","16.0.1.0"
"Odoo S.A.","Instituição de Pagamentos por Transferência","payment_custom","","Instalado","16.0.2.0"
"Odoo S.A.","Portal do Cliente","portal","","Instalado","16.0.1.0"
"Odoo S.A.","Web Routing","http_routing","","Instalado","16.0.1.0"
"Odoo S.A.","Validação de Números de Telefone","phone_validation","","Instalado","16.0.2.1"
